Date,Shallot,Garlic,Rice,Chili pepper,Cayenne pepper,Broiler meat,Topside beef,Granulated sugar,Cooking oil,Chicken egg
1/1/16,35774,27588,10806,39831,48486,33303,110235,12838,15027,25743
1/2/16,35068,27750,10809,40191,48146,33479,110265,12909,15092,25774
1/3/16,35318,27728,10809,39581,47396,33362,110338,12909,15092,25700
1/4/16,35757,28084,10835,39251,45896,34224,110306,13017,14956,25564
1/5/16,36236,28037,10835,39241,44021,34116,110245,13020,14962,25586
1/6/16,36389,27879,10841,38280,43209,34475,110195,13029,14940,25438
1/7/16,36422,27990,10839,37111,42636,34367,110391,13038,14945,25432
1/8/16,36125,27925,10827,35803,41440,34293,110546,13061,14953,25572
1/9/16,35935,27965,10769,35345,42964,33572,110191,13000,15076,25482
1/10/16,35891,27935,10769,35455,43089,33366,110397,13000,15065,25441
1/11/16,36755,28463,10852,33423,41947,34365,110118,13078,14944,25700
1/12/16,36432,28357,10862,33462,42476,34302,110303,13109,14960,25783
1/13/16,36633,28812,10879,32407,41851,34976,110425,13119,14982,25969
1/14/16,36591,29363,10874,31712,41690,34849,110229,13130,14982,25884
1/15/16,36689,29642,10892,31437,42036,34940,108756,13095,14963,25865
1/16/16,35969,29909,10832,32359,39975,34789,109912,13047,14948,25872
1/17/16,35896,29850,10832,31734,39957,34490,109618,13047,14965,25884
1/18/16,35939,30054,10916,29304,41164,34931,110568,13085,15020,25790
1/19/16,35629,30138,10908,28920,40980,34654,109115,13069,15036,25772
1/20/16,35311,30159,10930,28430,40773,34203,111277,13069,14929,25572
1/21/16,34846,30141,10933,28727,39651,34013,111692,13081,14987,25495
1/22/16,34782,30162,10961,28687,39595,33840,111603,13102,14994,25449
1/23/16,34463,30162,10859,29844,38902,33719,110868,13045,15023,25104
1/24/16,34110,30015,10841,29672,38973,33646,110868,13023,15023,25112
1/25/16,33725,30626,10958,29631,38661,33643,112867,13107,14981,25438
1/26/16,33562,30637,10990,30106,38005,33468,112941,13111,14977,25306
1/27/16,33830,30616,10975,30427,36902,33367,112419,13128,14987,25284
1/28/16,33955,30592,10986,29561,36657,33290,112497,13128,14998,25292
1/29/16,33180,30667,10970,29652,35902,33279,112326,13129,15006,25332
