Tanggal,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
2017-03-27,14650.0,57500.0,122500.0,19500.0,26750.0,35000.0,21350.0,37750.0,13900.0,15100.0
2017-03-28,12550.0,44825.0,124075.0,19175.0,28125.0,36075.0,21875.0,43025.0,13725.0,14900.0
2017-03-29,10450.0,32150.0,125650.0,18850.0,29500.0,37150.0,22400.0,48300.0,13550.0,14700.0
2017-03-30,11750.0,30300.0,114700.0,20450.0,33850.0,38600.0,31250.0,57900.0,13800.0,16150.0
2017-03-31,11700.0,27500.0,117100.0,19650.0,26550.0,32000.0,23800.0,47600.0,13700.0,14550.0
2017-04-01,11666.666666666666,28016.666666666668,116116.66666666667,19616.666666666668,28583.333333333332,33900.0,25533.333333333332,48483.333333333336,13700.0,14500.0
2017-04-02,11633.333333333334,28533.333333333332,115133.33333333333,19583.333333333332,30616.666666666668,35800.0,27266.666666666668,49366.666666666664,13700.0,14450.0
2017-04-03,11600.0,29050.0,114150.0,19550.0,32650.0,37700.0,29000.0,50250.0,13700.0,14400.0
2017-04-04,11100.0,30000.0,117550.0,19550.0,32500.0,37900.0,26500.0,48900.0,13550.0,14600.0
2017-04-05,11350.0,30550.0,116750.0,19900.0,32450.0,38100.0,27200.0,47650.0,14000.0,14850.0
2017-04-06,11200.0,30050.0,117650.0,19650.0,31400.0,37450.0,25900.0,46300.0,13450.0,14450.0
2017-04-07,11300.0,29950.0,118100.0,19800.0,31100.0,37150.0,26850.0,46900.0,13550.0,14450.0
2017-04-08,11350.0,29816.666666666668,117266.66666666667,19816.666666666668,31733.333333333332,37750.0,28066.666666666668,47466.666666666664,13750.0,14616.666666666666
2017-04-09,11400.0,29683.333333333332,116433.33333333333,19833.333333333332,32366.666666666668,38350.0,29283.333333333332,48033.333333333336,13950.0,14783.333333333334
2017-04-10,11450.0,29550.0,115600.0,19850.0,33000.0,38950.0,30500.0,48600.0,14150.0,14950.0
2017-04-11,11350.0,29550.0,115450.0,20400.0,32750.0,38750.0,31650.0,49550.0,13950.0,14850.0
2017-04-12,11550.0,30100.0,116600.0,20550.0,32950.0,39300.0,31700.0,48200.0,13950.0,14850.0
2017-04-13,11550.0,30000.0,116650.0,20650.0,32700.0,39650.0,31450.0,48900.0,13950.0,14850.0
2017-04-14,11500.0,35500.0,121300.0,18300.0,30650.0,40850.0,25650.0,44550.0,13350.0,14450.0
2017-04-15,11450.0,33500.0,119466.66666666667,18900.0,31216.666666666668,40666.666666666664,26550.0,44583.333333333336,13533.333333333334,14533.333333333334
2017-04-16,11400.0,31500.0,117633.33333333333,19500.0,31783.333333333332,40483.333333333336,27450.0,44616.666666666664,13716.666666666666,14616.666666666666
2017-04-17,11350.0,29500.0,115800.0,20100.0,32350.0,40300.0,28350.0,44650.0,13900.0,14700.0
2017-04-18,11200.0,29000.0,114100.0,19850.0,31700.0,40100.0,28850.0,44350.0,13850.0,14750.0
2017-04-19,11350.0,29800.0,114550.0,20150.0,31850.0,40550.0,29700.0,43550.0,13850.0,14750.0
