Date,Rice,Chicken Meat,Beef,Chicken Egg,Shallot,Garlic,Red Chili,Bird's Eye Chili,Cooking Oil,Sugar
3/27/2017,14650,57500,122500,19500,26750,35000,21350,37750,13900,15100
3/28/2017,12550,44825,124075,19175,28125,36075,21875,43025,13725,14900
3/29/2017,10450,32150,125650,18850,29500,37150,22400,48300,13550,14700
3/30/2017,11750,30300,114700,20450,33850,38600,31250,57900,13800,16150
3/31/2017,11700,27500,117100,19650,26550,32000,23800,47600,13700,14550
4/1/2017,11666.666666666666,28016.666666666668,116116.66666666667,19616.666666666668,28583.333333333332,33900,25533.333333333332,48483.333333333336,13700,14500
4/2/2017,11633.333333333334,28533.333333333332,115133.33333333333,19583.333333333332,30616.666666666668,35800,27266.666666666668,49366.666666666664,13700,14450
4/3/2017,11600,29050,114150,19550,32650,37700,29000,50250,13700,14400
4/4/2017,11100,30000,117550,19550,32500,37900,26500,48900,13550,14600
4/5/2017,11350,30550,116750,19900,32450,38100,27200,47650,14000,14850
4/6/2017,11200,30050,117650,19650,31400,37450,25900,46300,13450,14450
4/7/2017,11300,29950,118100,19800,31100,37150,26850,46900,13550,14450
4/8/2017,11350,29816.666666666668,117266.66666666667,19816.666666666668,31733.333333333332,37750,28066.666666666668,47466.666666666664,13750,14616.666666666666
4/9/2017,11400,29683.333333333332,116433.33333333333,19833.333333333332,32366.666666666668,38350,29283.333333333332,48033.333333333336,13950,14783.333333333334
4/10/2017,11450,29550,115600,19850,33000,38950,30500,48600,14150,14950
4/11/2017,11350,29550,115450,20400,32750,38750,31650,49550,13950,14850
4/12/2017,11550,30100,116600,20550,32950,39300,31700,48200,13950,14850
4/13/2017,11550,30000,116650,20650,32700,39650,31450,48900,13950,14850
4/14/2017,11500,35500,121300,18300,30650,40850,25650,44550,13350,14450
4/15/2017,11450,33500,119466.66666666667,18900,31216.666666666668,40666.666666666664,26550,44583.333333333336,13533.333333333334,14533.333333333334
4/16/2017,11400,31500,117633.33333333333,19500,31783.333333333332,40483.333333333336,27450,44616.666666666664,13716.666666666666,14616.666666666666
4/17/2017,11350,29500,115800,20100,32350,40300,28350,44650,13900,14700
4/18/2017,11200,29000,114100,19850,31700,40100,28850,44350,13850,14750
